,Species,Population 1,Population 2,ave_dist,short_dist,Pop 1 size eDNA,Pop 2 size eDNA,PhiST value,p-value,fdr p-value,bonferroni p-value,sig p-value,sig fdr,sig bon,previous long phist,previous long pvalue,previous long fdr pvalue,previous short phist,previous short pvalue,previous short fdr pvalue,Pop 1 size tissue,Pop 2 size tissue
13,Abudefduf abdominalis,Hawaii,Kauai,490,429,83,44,0.000945956,0.340659341,0.681318681,1,no,no,no,-0.040093387,0.999000999,0.999000999,-0.040093387,0.916083916,0.916083916,11,26
14,Abudefduf abdominalis,Hawaii,Maui,151,46,83,21,-0.01103405,0.739260739,0.75024975,1,no,no,no,-0.017539479,0.648351648,0.999000999,0.011314314,0.588411588,0.81038961,11,19
15,Abudefduf abdominalis,Hawaii,Oahu,329,250,83,70,0.012448041,0,0,0,yes,yes,yes,-0.001726052,0.308691309,0.962037962,0.090630741,0.297702298,0.81038961,11,27
16,Abudefduf abdominalis,Maui,Kauai,353,297,21,44,-0.009088105,0.75024975,0.75024975,1,no,no,no,-0.01585679,0.875124875,0.999000999,-0.002645124,0.675324675,0.81038961,19,26
17,Abudefduf abdominalis,Maui,Oahu,183,107,21,70,-0.004061452,0.509490509,0.75024975,1,no,no,no,-0.013585156,0.693306693,0.999000999,0.019120459,0.433566434,0.81038961,19,27
18,Abudefduf abdominalis,Oahu,Kauai,180,116,70,44,0.008664489,0.116883117,0.350649351,0.701298701,no,no,no,0.009878939,0.320679321,0.962037962,0.00147929,0.041958042,0.251748252,27,26
7,Abudefduf vaigiensis,Hawaii,Kauai,490,429,63,93,0.0476638,0,0,0,yes,yes,yes,-0.012835591,0.529470529,0.653346653,-0.00232348,0.363636364,0.848751249,19,20
8,Abudefduf vaigiensis,Hawaii,Maui,151,46,63,29,-0.004732186,0.537462537,0.537462537,1,no,no,no,-0.000124451,0.420579421,0.653346653,0.02185879,0.25974026,0.848751249,19,17
9,Abudefduf vaigiensis,Hawaii,Oahu,329,250,63,104,0.025538211,0.021978022,0.043956044,0.131868132,yes,yes,no,-0.011644219,0.544455544,0.653346653,-0.02564541,0.705294705,0.848751249,19,16
10,Abudefduf vaigiensis,Maui,Kauai,353,297,29,93,0.019333611,0.090909091,0.136363636,0.545454545,no,no,no,0.008719226,0.310689311,0.653346653,-0.024426835,0.614385614,0.848751249,17,20
11,Abudefduf vaigiensis,Maui,Oahu,183,107,29,104,0.011331394,0.166833167,0.2001998,1,no,no,no,-0.046326087,0.985014985,0.985014985,-0.031608155,0.707292707,0.848751249,17,16
12,Abudefduf vaigiensis,Oahu,Kauai,180,116,104,93,0.025426924,0.010989011,0.032967033,0.065934066,yes,yes,no,-0.002758468,0.458541459,0.653346653,-0.050164619,0.929070929,0.929070929,16,20
19,Acanthurus nigrofuscus,Hawaii,Kauai,490,429,367,131,-0.001040009,0.507492507,0.507492507,1,no,no,no,-0.004890646,0.465534466,0.861638362,-0.018428934,0.738261738,0.975024975,33,26
20,Acanthurus nigrofuscus,Hawaii,Maui,151,46,367,183,0.000128255,0.325674326,0.488511489,1,no,no,no,0.002458022,0.35964036,0.861638362,-0.009151518,0.521478521,0.975024975,33,36
21,Acanthurus nigrofuscus,Hawaii,Oahu,329,250,367,211,0.004492308,0.075924076,0.227772228,0.455544456,no,no,no,-0.00323309,0.440559441,0.861638362,-0.00777383,0.541458541,0.975024975,33,39
22,Acanthurus nigrofuscus,Maui,Kauai,353,297,183,131,0.002062733,0.227772228,0.455544456,1,no,no,no,-0.019286179,0.883116883,0.984015984,-0.02022725,0.824175824,0.975024975,36,26
23,Acanthurus nigrofuscus,Maui,Oahu,183,107,183,211,0.004924411,0.057942058,0.227772228,0.347652348,no,no,no,-0.007173524,0.574425574,0.861638362,-0.001707554,0.437562438,0.975024975,36,39
24,Acanthurus nigrofuscus,Oahu,Kauai,180,116,211,131,-0.000904168,0.475524476,0.507492507,1,no,no,no,-0.024032697,0.984015984,0.984015984,-0.026762529,0.975024975,0.975024975,39,26
45,Acanthurus nigroris,Hawaii,Kauai,490,429,5,9,-0.077844311,0.999000999,0.999000999,1,no,no,no,-0.000803253,0.31968032,0.47952048,0.001923475,0.101898102,0.305694306,32,34
46,Acanthurus nigroris,Hawaii,Maui,151,46,5,4,0.0625,0.426573427,0.636563437,1,no,no,no,,,,,,,,
47,Acanthurus nigroris,Hawaii,Oahu,329,250,5,15,0.040793826,0.428571429,0.636563437,1,no,no,no,-0.021515398,0.963036963,0.963036963,-0.003138294,0.999000999,0.999000999,32,29
48,Acanthurus nigroris,Maui,Kauai,353,297,4,9,0.065963061,0.53046953,0.636563437,1,no,no,no,,,,,,,,
49,Acanthurus nigroris,Maui,Oahu,183,107,4,15,0.087464998,0.198801199,0.596403596,1,no,no,no,,,,,,,,
50,Acanthurus nigroris,Oahu,Kauai,180,116,15,9,0.102683563,0.124875125,0.596403596,0.749250749,no,no,no,0.003975931,0.230769231,0.47952048,0,0.999000999,0.999000999,29,34
111,Caranx ignobilis,Hawaii,Kauai,490,429,14,9,-0.040276112,0.614385614,0.614385614,0.614385614,no,no,no,0.0001,1,1,,,,18,3
112,Caranx melampygus,Hawaii,Kauai,490,429,34,68,0.001499282,0.372627373,0.558941059,1,no,no,no,0.0001,1,1,,,,26,6
113,Caranx melampygus,Hawaii,Maui,151,46,34,58,0.021074341,0.065934066,0.383616384,0.395604396,no,no,no,0.0001,1,1,,,,26,4
114,Caranx melampygus,Hawaii,Oahu,329,250,34,47,-0.00462717,0.559440559,0.563436563,1,no,no,no,0.0001,1,1,,,,26,21
115,Caranx melampygus,Maui,Kauai,353,297,58,68,0.010613783,0.127872128,0.383616384,0.767232767,no,no,no,0.0001,1,1,,,,4,6
116,Caranx melampygus,Maui,Oahu,183,107,58,47,0.007923642,0.203796204,0.407592408,1,no,no,no,0.0001,1,1,,,,4,21
117,Caranx melampygus,Oahu,Kauai,180,116,47,68,-0.003721185,0.563436563,0.563436563,1,no,no,no,0.0001,1,1,,,,21,6
124,Cephalopholis argus,Hawaii,Kauai,490,429,5,3,-0.132075472,0.999000999,0.999000999,1,no,no,no,0.004814051,0.288711289,0.577422577,-0.000134636,0.397602398,0.795204795,51,23
125,Cephalopholis argus,Hawaii,Maui,151,46,5,14,-0.156289708,0.999000999,0.999000999,1,no,no,no,0.025905849,0.078921079,0.236763237,0.035411956,0.098901099,0.296703297,51,53
126,Cephalopholis argus,Hawaii,Oahu,329,250,5,2,-0.214953271,0.999000999,0.999000999,1,no,no,no,0.027815636,0.063936064,0.236763237,0.047978365,0.070929071,0.296703297,51,53
127,Cephalopholis argus,Maui,Kauai,353,297,14,3,-0.059633028,0.627372627,0.999000999,1,no,no,no,-0.01421217,0.587412587,0.704895105,-0.028312669,0.79020979,0.973426573,53,23
128,Cephalopholis argus,Maui,Oahu,183,107,14,2,-0.09375,0.999000999,0.999000999,1,no,no,no,-0.011913215,0.828171828,0.828171828,-0.018495924,0.999000999,0.999000999,53,53
129,Cephalopholis argus,Oahu,Kauai,180,116,2,3,0.25,0.406593407,0.999000999,1,no,no,no,-0.012402147,0.558441558,0.704895105,-0.02421985,0.811188811,0.973426573,53,23
138,Chaetodon miliaris,Hawaii,Kauai,490,429,2,7,0.219008264,0.142857143,0.428571429,0.428571429,no,no,no,-0.017032106,0.413586414,0.618381618,-0.04763749,0.67032967,0.96983017,10,18
139,Chaetodon miliaris,Hawaii,Oahu,329,250,2,4,0.384615385,0.331668332,0.492507493,0.995004995,no,no,no,-0.028374838,0.59040959,0.618381618,-0.067692395,0.808191808,0.96983017,10,23
140,Chaetodon miliaris,Oahu,Kauai,180,116,4,7,0.057239057,0.492507493,0.492507493,1,no,no,no,-0.022663287,0.618381618,0.618381618,-0.037313534,0.654345654,0.96983017,23,18
141,Chaetodon multicinctus,Hawaii,Kauai,490,429,25,14,0.454316129,0,0,0,yes,yes,yes,-0.01288093,0.81018981,0.944055944,-0.010869565,0.741258741,0.999000999,31,31
142,Chaetodon multicinctus,Hawaii,Oahu,329,250,25,5,0.111948332,0.188811189,0.188811189,0.566433566,no,no,no,0.016381136,0.12987013,0.38961039,-0.02373581,0.88011988,0.999000999,31,16
143,Chaetodon multicinctus,Oahu,Kauai,180,116,5,14,0.304367922,0.047952048,0.071928072,0.143856144,yes,no,no,0.0308826,0.035964036,0.215784216,-0.02373581,0.689310689,0.999000999,16,31
164,Chromis vanderbilti,Hawaii,Kauai,490,429,85,45,0.016423909,0.012987013,0.031968032,0.077922078,yes,yes,no,-0.008506118,0.634365634,0.948051948,-0.00795195,0.723276723,0.736263736,32,30
165,Chromis vanderbilti,Hawaii,Maui,151,46,85,64,0.007068351,0.077922078,0.077922078,0.467532468,no,no,no,-0.001883991,0.407592408,0.948051948,0.008875645,0.4995005,0.736263736,32,30
166,Chromis vanderbilti,Hawaii,Oahu,329,250,85,54,0.009026535,0.027972028,0.033566434,0.167832168,yes,yes,no,-0.00158027,0.383616384,0.948051948,0.022462103,0.024975025,0.14985015,32,33
167,Chromis vanderbilti,Maui,Kauai,353,297,64,45,0.020348161,0.015984016,0.031968032,0.095904096,yes,yes,no,-0.017183716,0.948051948,0.948051948,-0.013513514,0.599400599,0.736263736,30,30
168,Chromis vanderbilti,Maui,Oahu,183,107,64,54,0.013793415,0.024975025,0.033566434,0.14985015,yes,yes,no,-0.012426944,0.59040959,0.948051948,0.000146988,0.736263736,0.736263736,30,33
169,Chromis vanderbilti,Oahu,Kauai,180,116,54,45,0.021083333,0.015984016,0.031968032,0.095904096,yes,yes,no,-0.017076191,0.849150849,0.948051948,0.001997218,0.118881119,0.356643357,33,30
291,Lutjanus fulvus,Hawaii,Kauai,490,429,18,16,0.039697833,0.085914086,0.20979021,0.257742258,no,no,no,-0.018378261,0.67032967,0.98001998,,,,40,27
292,Lutjanus fulvus,Hawaii,Oahu,329,250,18,17,0.017003632,0.355644356,0.355644356,1,no,no,no,-0.018444266,0.821178821,0.98001998,,,,40,40
293,Lutjanus fulvus,Oahu,Kauai,180,116,17,16,0.048182166,0.13986014,0.20979021,0.41958042,no,no,no,-0.021538678,0.778221778,0.98001998,,,,40,27
294,Lutjanus kasmira,Oahu,Kauai,180,116,17,16,0.208376963,0.278721279,0.278721279,0.278721279,no,no,no,0.001,1,1,,,,50,36
307,Mulloidichthys flavolineatus,Hawaii,Kauai,490,429,21,12,0.033273201,0.13986014,0.13986014,0.839160839,no,no,no,-0.013135232,0.999000999,0.999000999,-0.012685075,0.969030969,0.969030969,83,60
308,Mulloidichthys flavolineatus,Hawaii,Maui,151,46,21,30,0.02250766,0.052947053,0.113886114,0.317682318,no,no,no,0.034112295,0.027972028,0.038361638,0.0053262,0.168831169,0.251748252,83,25
309,Mulloidichthys flavolineatus,Hawaii,Oahu,329,250,21,46,0.030241935,0.061938062,0.113886114,0.371628372,no,no,no,0.115702448,0,0,0.224355207,0,0,83,57
310,Mulloidichthys flavolineatus,Maui,Kauai,353,297,30,12,0.050131926,0.075924076,0.113886114,0.455544456,no,no,no,0.042585502,0.031968032,0.038361638,0.004626863,0.20979021,0.251748252,25,60
311,Mulloidichthys flavolineatus,Maui,Oahu,183,107,30,46,0.030887223,0.01998002,0.113886114,0.11988012,yes,no,no,0.093829812,0,0,0.118462735,0,0,25,57
312,Mulloidichthys flavolineatus,Oahu,Kauai,180,116,46,12,0.047789054,0.11988012,0.13986014,0.719280719,no,no,no,0.103036697,0,0,0.192381152,0,0,57,60
500,Stenella longirostris,Hawaii,Kauai,490,429,13,7,0.22505545,0.062937063,0.062937063,0.188811189,no,no,no,0.024,0.00001,0.000001,,,,79,32
501,Stenella longirostris,Hawaii,Oahu,329,250,13,3,0.624435751,0,0,0,yes,yes,yes,0.018,0.000001,0.00000001,,,,79,40
502,Stenella longirostris,Oahu,Kauai,180,116,3,7,0.901869159,0.006993007,0.01048951,0.020979021,yes,yes,yes,0.003,0.5,0.5,,,,40,32
534,Triaenodon obesus,Hawaii,Oahu,329,250,2,6,-0.304347826,0.999000999,0.999000999,0.999000999,no,no,no,0.2,0.5,0.5,,,,7,17
812,Zebrasoma flavescens,Hilo,Kauai,555,544,16,8,0.022333393,0.301698302,0.430997574,1,no,no,no,-0.022648084,0.993006993,0.993006993,-0.022256098,0.856143856,0.97014097,42,42
813,Zebrasoma flavescens,Hilo,Kona,184,123,16,155,0.022938791,0.182817183,0.304695305,1,no,no,no,-0.004855462,0.406593407,0.902430902,-0.014615309,0.683316683,0.97014097,42,54
814,Zebrasoma flavescens,Hilo,Maui,305,183,16,56,0.032102088,0.133866134,0.304695305,1,no,no,no,-0.016941435,0.724275724,0.902430902,-0.024546467,0.984015984,0.984015984,42,39
815,Zebrasoma flavescens,Hilo,Oahu,392,344,16,6,0.031479609,0.351648352,0.43956044,1,no,no,no,-0.021518925,0.808191808,0.902430902,-0.020546654,0.72027972,0.97014097,42,35
816,Zebrasoma flavescens,Kona,Kauai,457,429,155,8,-0.02746026,0.577422577,0.577422577,1,no,no,no,-0.004836203,0.453546454,0.902430902,-0.011321728,0.586413586,0.97014097,54,42
817,Zebrasoma flavescens,Kona,Maui,127,90,155,56,0.042551431,0.010989011,0.10989011,0.10989011,yes,no,no,-0.01395387,0.714285714,0.902430902,-0.01457174,0.665334665,0.97014097,54,39
818,Zebrasoma flavescens,Kona,Oahu,284,250,155,6,0.085890253,0.082917083,0.304695305,0.829170829,no,no,no,-0.012555735,0.612387612,0.902430902,-0.013977325,0.662337662,0.97014097,54,35
819,Zebrasoma flavescens,Maui,Kauai,353,297,56,8,0.002983704,0.544455544,0.577422577,1,no,no,no,-0.01890166,0.812187812,0.902430902,-0.022827416,0.873126873,0.97014097,39,42
820,Zebrasoma flavescens,Maui,Oahu,183,107,56,6,0.045527831,0.140859141,0.304695305,1,no,no,no,-0.020834542,0.8001998,0.902430902,-0.023324766,0.801198801,0.97014097,39,35
821,Zebrasoma flavescens,Oahu,Kauai,180,116,6,8,0.079452055,0.17982018,0.304695305,1,no,no,no,-0.017522899,0.668331668,0.902430902,-0.013337199,0.513486513,0.97014097,35,42