"","OTU","Species","Percent Matched","BlastMatch","Phylum","Total Haplotypes","Oahu Haplotypes","Oahu Individuals","Hawaii Haplotypes","Hawaii Individuals","Kauai Haplotypes","Kauai Individuals","Maui Haplotypes","Maui Individuals","Kona Haplotypes","Kona Individuals","Hilo Haplotypes","Hilo Individuals"
"6","OTU_13","Thalassoma","0.991489361702","Thalassoma duperrey","Chordata",150,"43","117","60","198","74","213","37","82","40","99","33","99"
"20","OTU_35","Enneapterygius etheostomus","0.906382978723","Enneapterygius etheostomus","Chordata",125,"42","90","47","132","55","156","24","55","27","56","32","76"
"90","OTU_116","Kyphosus vaigiensis","0.987234042553","Kyphosus vaigiensis","Chordata",92,"27","38","41","51","37","64","3","4","15","20","30","31"
"14","OTU_19","Eviota epiphanes","1","Eviota epiphanes","Chordata",83,"31","91","22","69","28","76","12","44","6","20","18","49"
"39","OTU_7","Sargocentron punctatissimum","0.995744680851","Sargocentron punctatissimum","Chordata",81,"34","143","28","78","25","137","9","25","16","43","14","35"
"19","OTU_33","Acanthurinae","1","Acanthurus nigrofuscus","Chordata",75,"29","126","32","171","17","85","21","97","20","102","20","69"
"52","OTU_8","Cirrhitus pinnulatus","0.995744680851","Cirrhitus pinnulatus","Chordata",66,"22","61","18","73","30","86","10","31","12","37","10","36"
"2","OTU_11","Kyphosus cinerascens","1","Kyphosus","Chordata",61,"14","73","31","128","24","130","16","40","18","57","18","71"
"5","OTU_123","Cirripectes polyzona","0.91914893617","Cirripectes polyzona","Chordata",57,"19","37","26","50","21","40","18","36","17","29","14","21"
"32","OTU_16","Naso lituratus","0.995744680851","Naso","Chordata",52,"16","46","26","86","22","68","10","16","21","57","11","29"
"11","OTU_18","Acanthurus leucopareius","1","Acanthurus leucopareius","Chordata",46,"14","80","17","130","15","94","6","16","11","60","8","70"
"28","OTU_9","Abudefduf sordidus","1","Abudefduf sordidus","Chordata",44,"8","48","15","92","13","84","15","54","9","49","8","43"
"46","OTU_20","Naso unicornis","1","Naso unicornis","Chordata",44,"27","83","8","20","15","61","8","23","1","1","8","19"
"4","OTU_12","Myripristis jacobus","0.927966101695","Myripristis","Chordata",40,"16","45","15","50","9","25","15","60","14","44","2","6"
"41","OTU_72","Myripristis amaena","0.957446808511","Myripristis amaena","Chordata",39,"19","55","10","42","15","49","7","16","9","30","2","12"
"13","OTU_186","Melichthys niger","0.978723404255","Melichthys niger","Chordata",38,"2","2","27","102","13","18","11","23","24","83","12","19"
"27","OTU_69","Canthigaster","1","Canthigaster punctatissima","Chordata",38,"7","26","17","52","13","39","8","27","11","34","8","18"
"38","OTU_63","Thunnini","1","Thunnus albacares","Chordata",35,"8","28","6","12","6","33","21","71","6","10","1","2"
"77","OTU_22","Atherinomorus insularum","1","Atherinomorus insularum","Chordata",35,"15","56","11","41","10","44","6","27","4","14","9","27"
"54","OTU_95","Gymnomuraena zebra","1","Gymnomuraena zebra","Chordata",34,"15","32","10","17","12","20","10","17","6","9","5","8"
"3","OTU_113","Acanthurus blochii","0.978723404255","Acanthurus blochii","Chordata",32,"14","35","15","58","13","67","6","13","11","28","10","30"
"22","OTU_40","Hemiramphus depauperatus","1","Hemiramphus depauperatus","Chordata",31,"6","21","19","51","11","26","2","2","18","48","2","3"
"21","OTU_37","Abudefduf vaigiensis","1","Abudefduf","Chordata",30,"8","45","10","37","15","52","9","21","8","26","4","11"
"1","OTU_104","Pristiapogon kallopterus","1","Pristiapogon kallopterus","Chordata",28,"7","18","1","6","16","47","10","21","1","5","1","1"
"40","OTU_71","Acanthurus reversus","1","Acanthurus","Chordata",28,"8","57","17","66","6","55","5","14","9","30","10","36"
"57","OTU_68","Chromis vanderbilti","1","Pycnochromis vanderbilti","Chordata",28,"7","26","13","48","8","29","6","32","10","32","4","16"
"23","OTU_41","Chlorurus","0.991489361702","Chlorurus spilurus","Chordata",27,"3","9","19","57","3","9","6","18","15","39","5","18"
"70","OTU_53","Chaetodon lunula","0.991489361702","Chaetodon lunula","Chordata",27,"6","17","14","70","7","35","6","22","8","30","8","40"
"58","OTU_83","Plectroglyphidodon johnstonianus","1","Plectroglyphidodon johnstonianus","Chordata",26,"6","22","13","32","9","35","5","22","2","4","12","28"
"16","OTU_200","Decapterus","0.995744680851","Decapterus macarellus","Chordata",25,"0","0","16","31","3","5","10","12","13","24","5","7"
"43","OTU_158","Pseudogramma polyacantha","0.948936170213","Pseudogramma polyacantha","Chordata",25,"2","3","10","20","14","23","8","12","9","17","3","3"
"29","OTU_90","Myripristis berndti","1","Myripristis","Chordata",24,"14","41","8","24","11","40","4","21","7","17","4","7"
"81","OTU_54","Kyphosus","0.953191489362","Kyphosus bigibbus","Chordata",24,"13","34","6","13","9","30","1","3","3","5","4","8"
"25","OTU_60","Abudefduf","1","Abudefduf abdominalis","Chordata",23,"8","35","10","45","6","25","2","13","3","18","8","27"
"66","OTU_48","Kyphosus","0.953191489362","Kyphosus sectatrix","Chordata",23,"10","28","4","14","12","36","1","1","2","5","3","9"
"75","OTU_65","Caranx melampygus","1","Caranx melampygus","Chordata",21,"8","28","9","24","7","36","5","22","5","9","6","15"
"30","OTU_118","Acanthurus triostegus","1","Acanthurus triostegus","Chordata",20,"5","17","11","34","7","40","2","5","2","12","10","22"
"68","OTU_151","Gymnothorax rueppelliae","1","Gymnothorax rueppelliae","Chordata",20,"13","34","6","14","12","26","3","6","6","7","3","7"
"98","OTU_220","Bathygobius cotticeps","0.923404255319","Bathygobius cotticeps","Chordata",20,"7","10","6","8","10","16","3","4","1","1","6","7"
"62","OTU_105","Sufflamen bursa","1","Sufflamen bursa","Chordata",18,"11","30","7","28","2","12","3","7","2","9","7","19"
"100","OTU_14","Kuhlia sandvicensis","1","Kuhlia sandvicensis","Chordata",18,"8","27","4","17","6","26","3","9","2","6","3","11"
"102","OTU_85","Paracirrhites arcatus","1","Paracirrhites arcatus","Chordata",17,"3","14","6","19","12","38","1","2","2","2","5","17"
"31","OTU_149","Mulloidichthys flavolineatus","1","Mulloidichthys flavolineatus","Chordata",16,"5","20","6","13","3","7","5","19","4","9","3","4"
"24","OTU_6","Zebrasoma","0.995744680851","Zebrasoma","Chordata",15,"2","5","13","89","2","8","4","26","10","77","4","12"
"97","OTU_146","Gymnothorax","1","Gymnothorax meleagris","Chordata",15,"11","17","4","17","3","6","3","3","3","8","3","9"
"108","OTU_167","Pomacentridae","0.923404255319","Plectroglyphidodon","Chordata",15,"1","11","8","26","8","22","2","4","3","7","6","19"
"61","OTU_86","Diodon","1","Diodon hystrix","Chordata",14,"6","31","7","24","2","7","3","17","4","16","4","8"
"8","OTU_150","Chaetodon ornatissimus","0.995744680851","Chaetodon ornatissimus","Chordata",13,"2","5","6","37","2","2","8","32","6","29","2","8"
"73","OTU_98","Albula glossodonta","1","Albula glossodonta","Chordata",13,"8","23","1","1","6","12","0","0","0","0","1","1"
"78","OTU_268","Ferdauia orthogrammus","0.987234042553","Ferdauia orthogrammus","Chordata",13,"6","6","6","10","6","7","2","2","3","3","5","7"
"101","OTU_289","Plectroglyphidodon imparipennis","0.995744680851","Plectroglyphidodon imparipennis","Chordata",13,"3","14","4","12","9","24","3","8","4","10","2","2"
"130","OTU_312","Platybelone argala","0.995744680851","0",NA,13,"3","4","9","17","4","9","1","1","9","16","1","1"
"106","OTU_121","Decapterus macrosoma","1","Decapterus macrosoma","Chordata",12,"9","16","0","0","1","1","4","10","0","0","0","0"
"37","OTU_441","Oxycheilinus bimaculatus","0.91914893617","Oxycheilinus bimaculatus","Chordata",11,"3","3","0","0","2","2","9","13","0","0","0","0"
"64","OTU_285","Gomphosus varius","1","Gomphosus varius","Chordata",11,"2","4","10","29","1","2","2","3","5","15","7","14"
"137","OTU_203","Ctenochaetus hawaiiensis","0.995744680851","Ctenochaetus hawaiiensis","Chordata",11,"0","0","11","31","0","0","0","0","11","31","0","0"
"34","OTU_265","Neoniphon sammara","1","Neoniphon sammara","Chordata",10,"5","12","7","16","0","0","2","10","5","12","4","4"
"45","OTU_1864","Gymnomuraena zebra","0.995744680851","Gymnomuraena zebra","Chordata",10,"7","7","0","0","1","1","2","2","0","0","0","0"
"159","OTU_625","Muraeninae","0.987234042553","Echidna polyzona","Chordata",10,"6","10","2","4","5","5","0","0","0","0","2","4"
"7","OTU_145","Pristiapogon taeniopterus","1","Pristiapogon kallopterus","Chordata",9,"5","8","4","6","2","11","3","8","2","3","3","3"
"104","OTU_276","Benthosema fibulatum","0.982978723404","Benthosema fibulatum","Chordata",9,"0","0","5","5","0","0","5","8","2","2","3","3"
"105","OTU_141","Sufflamen fraenatum","0.991489361702","Sufflamen fraenatum","Chordata",9,"5","10","2","2","3","7","2","4","2","2","0","0"
"184","OTU_324","Kuhlia xenura","1","Kuhlia xenura","Chordata",9,"7","14","1","1","5","14","0","0","0","0","1","1"
"17","OTU_216","Gymnothorax pindae","0.974468085106","Gymnothorax pindae","Chordata",8,"0","0","1","1","2","2","8","13","1","1","0","0"
"55","OTU_240","Paracirrhites forsteri","1","Paracirrhites forsteri","Chordata",8,"3","4","4","8","4","10","1","2","3","5","3","3"
"69","OTU_249","Canthigaster amboinensis","0.995744680851","0",NA,8,"3","10","4","17","5","15","5","15","2","5","4","12"
"88","OTU_414","Psilogobius mainlandi","1","Psilogobius mainlandi","Chordata",8,"4","4","4","4","1","1","2","6","0","0","4","4"
"121","OTU_157","Acanthurus thompsoni","0.995744680851","Acanthurus thompsoni","Chordata",8,"0","0","8","23","0","0","1","1","8","23","0","0"
"126","OTU_259","Mugil cephalus","0.991489361702","Mugil cephalus","Chordata",8,"1","1","7","16","3","7","0","0","0","0","7","16"
"15","OTU_194","Neomonachus schauinslandi","0.995744680851","Neomonachus schauinslandi","Chordata",7,"1","2","0","0","5","7","3","3","0","0","0","0"
"47","OTU_344","Pseudocheilinus evanidus","0.991489361702","Pseudocheilinus evanidus","Chordata",7,"0","0","1","1","2","5","6","15","1","1","0","0"
"59","OTU_180","Cantherhines dumerilii","1","Cantherhines dumerilii","Chordata",7,"2","7","3","11","1","5","4","10","3","10","1","1"
"86","OTU_571","Echidna nebulosa","1","Muraeninae","Chordata",7,"4","7","4","5","3","6","0","0","0","0","4","5"
"87","OTU_952","Schindleria pietschmanni","0.991489361702","Schindleria pietschmanni","Chordata",7,"4","4","2","2","2","3","0","0","0","0","2","2"
"10","OTU_1642","Gymnothorax pindae","0.970212765957","Gymnothorax pindae","Chordata",6,"0","0","0","0","0","0","6","6","0","0","0","0"
"33","OTU_241","Scarus rubroviolaceus","1","Scarus rubroviolaceus","Chordata",6,"3","6","4","22","1","5","1","2","3","14","2","8"
"48","OTU_388","Scuticaria tigrina","0.991489361702","Scuticaria tigrina","Chordata",6,"1","1","3","5","2","2","3","3","2","2","2","3"
"63","OTU_181","Sargocentron diadema","0.995744680851","Sargocentron diadema","Chordata",6,"1","4","1","2","4","14","4","10","1","2","0","0"
"74","OTU_134","Acanthurus dussumieri","1","Acanthurus dussumieri","Chordata",6,"1","4","3","8","5","14","1","6","2","4","2","4"
"76","OTU_199","Lutjanus fulvus","1","Lutjanus fulvus","Chordata",6,"2","8","3","8","3","10","0","0","1","1","3","7"
"95","OTU_930","Pseudogramma polyacantha","0.931914893617","Pseudogramma polyacantha","Chordata",6,"0","0","4","4","1","1","1","1","1","1","3","3"
"112","OTU_58","Carcharhinus limbatus","0.974468085106","Carcharhinus limbatus","Chordata",6,"2","2","1","5","4","8","2","4","1","2","1","3"
"117","OTU_1342","Melichthys vidua","0.991489361702","Melichthys","Chordata",6,"3","3","2","2","2","2","0","0","0","0","2","2"
"136","OTU_171","Neomyxus leuciscus","1","Neomyxus leuciscus","Chordata",6,"4","9","4","31","2","7","1","1","4","25","2","6"
"141","OTU_641","Katsuwonus pelamis","1","Katsuwonus pelamis","Chordata",6,"1","1","5","7","1","1","0","0","5","7","0","0"
"142","OTU_360","Chromis agilis","1","Chromis agilis","Chordata",6,"0","0","4","10","4","4","0","0","4","10","0","0"
"168","OTU_656","Eleotris sandwicensis","0.995744680851","Eleotris","Chordata",6,"0","0","6","9","0","0","0","0","0","0","6","9"
"35","OTU_301","Pseudocheilinus tetrataenia","0.978723404255","Pseudocheilinus tetrataenia","Chordata",5,"1","1","2","7","2","3","2","3","1","3","2","4"
"42","OTU_80","Acanthurus nigroris","0.995744680851","Acanthurus nigroris","Chordata",5,"3","8","1","4","2","4","2","2","1","4","0","0"
"50","OTU_600","Acanthurus achilles","1","Acanthurus achilles","Chordata",5,"3","3","1","1","2","2","1","1","0","0","1","1"
"80","OTU_367","Scarus psittacus","0.995744680851","Scarus psittacus","Chordata",5,"3","5","2","13","2","2","0","0","2","9","2","4"
"82","OTU_713","Gymnothorax undulatus","0.995744680851","Gymnothorax undulatus","Chordata",5,"1","1","2","2","5","6","0","0","1","1","1","1"
"111","OTU_515","Stenella longirostris","1","Stenella longirostris","Chordata",5,"1","1","3","5","2","6","0","0","3","5","0","0"
"139","OTU_270","Novaculichthys taeniourus","1","Novaculichthys taeniourus","Chordata",5,"3","10","1","9","3","7","0","0","1","8","1","1"
"140","OTU_401","Coryphaena hippurus","0.995744680851","Coryphaena hippurus","Chordata",5,"2","3","4","8","0","0","0","0","4","8","0","0"
"143","OTU_439","Plectroglyphidodon phoenixensis","0.906382978723","Plectroglyphidodon phoenixensis","Chordata",5,"1","4","5","12","1","2","0","0","2","2","4","10"
"185","OTU_548","Scorpaenopsis cacopsis","0.982978723404","Scorpaenopsis cacopsis","Chordata",5,"0","0","4","4","0","0","1","1","0","0","4","4"
"187","OTU_329","Moringua edwardsi","1","Moringua edwardsi","Chordata",5,"0","0","2","3","4","6","0","0","2","3","0","0"
"9","OTU_1550","Sargocentron spiniferum","0.995744680851","Sargocentron spiniferum","Chordata",4,"0","0","2","2","0","0","2","2","1","1","1","1"
