Samples,Location,Side,Island,Region,Year
Blank_East_2021_PE,East Oahu Blank,Blank,Blank,Blank,2021
Blank_North_2021_PE,North Oahu Blank,Blank,Blank,Blank,2021
Hilo_Blank_2021_PE,Hilo Blank,Blank,Blank,Blank,2021
HiloBlank_PE,Hilo Blank,Blank,Blank,Blank,2022
KiheiBlank_PE,Maui Blank,Blank,Blank,Blank,2023
KonaBlank_PE,Kona Blank,Blank,Blank,Blank,2022
OahuBlank_PE,Oahu Blank,Blank,Blank,Blank,2022
PoipuBlank_PE,South Kauai Blank,Blank,Blank,Blank,2023
PrincevilleBlank_PE,North Kauai Blank,Blank,Blank,Blank,2023
Changs_1_PE.1,Kona Blank,Blank,Blank,Blank,2021
Laupahoehoe_1_2021_PE.1,West Oahu Blank,Blank,Blank,Blank,2021
Harbor_1_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_1_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Harbor_2_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_2_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Harbor_3_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_3_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Harbor_4_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_4_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Kahaluu_1_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_2_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_3_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_4_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_5_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kahaluu_6_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kahaluu_7_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kahaluu_8_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kealoha_1_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_2_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_3_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_4_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_5_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Kealoha_6_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Kealoha_7_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Kealoha_8_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_1_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_1_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_2_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_2_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_3_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_3_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_4_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_4_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Laupahoehoe_1_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_1_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
Laupahoehoe_2_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_2_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
Laupahoehoe_3_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_3_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
Laupahoehoe_4_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_4_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
MaunaKea_1_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_1_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
MaunaKea_2_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_2_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
MaunaKea_3_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_3_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
MaunaKea_4_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_4_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
Richardsons_1_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_1_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
Richardsons_2_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_2_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
Richardsons_3_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_3_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
Richardsons_4_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_4_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
TwoStep_1_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_1_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
TwoStep_2_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_2_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
TwoStep_3_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_3_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
TwoStep_4_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_4_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
Anini_1_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_2_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_3_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_4_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_5_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_6_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_7_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_8_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_1_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_2_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_3_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_4_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_5_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_6_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_7_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_8_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
KoloaLanding_1_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_2_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_3_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_4_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_5_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_6_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_7_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_8_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
Lawai_1_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_2_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_3_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_4_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_5_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_6_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_7_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_8_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lydgate_1_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Lydgate_2_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Lydgate_3_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Lydgate_4_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Lydgate_5_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Lydgate_6_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Lydgate_7_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Lydgate_8_PE,Lydgate Beach Park,East Kauai,Kauai,Kauai,2023
Poipu_1_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
Poipu_2_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
Poipu_3_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
Poipu_4_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
Poipu_5_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
Poipu_6_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
Poipu_7_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
Poipu_8_PE,Poipu Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_1_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_2_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_3_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_4_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_5_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_6_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_7_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
SaltPond_8_PE,Salt Pond Beach Park,South Kauai,Kauai,Kauai,2023
TunnelsOuter_1_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
TunnelsOuter_2_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
TunnelsOuter_3_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
TunnelsOuter_4_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
TunnelsOuter_5_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
TunnelsOuter_6_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
TunnelsOuter_7_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
TunnelsOuter_8_PE,Makua Beach,North Kauai,Kauai,Kauai,2023
AhihiKinau_1_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
AhihiKinau_2_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
AhihiKinau_3_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
AhihiKinau_4_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
AhihiKinau_5_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
AhihiKinau_6_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
AhihiKinau_7_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
AhihiKinau_8_PE,Ahihi Kinau NARS,South Makena,Maui,Maui,2023
Changs_1_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
Changs_2_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
Changs_3_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
Changs_4_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
Changs_5_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
Changs_6_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
Changs_7_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
Changs_8_PE,Po’olenalena Beach,Makena,Maui,Maui,2023
FiveGraves_1_PE,Five Graves Beach,Makena,Maui,Maui,2023
FiveGraves_2_PE,Five Graves Beach,Makena,Maui,Maui,2023
FiveGraves_3_PE,Five Graves Beach,Makena,Maui,Maui,2023
FiveGraves_4_PE,Five Graves Beach,Makena,Maui,Maui,2023
FiveGraves_5_PE,Five Graves Beach,Makena,Maui,Maui,2023
FiveGraves_6_PE,Five Graves Beach,Makena,Maui,Maui,2023
FiveGraves_7_PE,Five Graves Beach,Makena,Maui,Maui,2023
FiveGraves_8_PE,Five Graves Beach,Makena,Maui,Maui,2023
KamaoeleIII_1_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
KamaoeleIII_2_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
KamaoeleIII_3_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
KamaoeleIII_4_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
KamaoeleIII_5_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
KamaoeleIII_6_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
KamaoeleIII_7_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
KamaoeleIII_8_PE,Kama'ole Beach Park III,South Kihei,Maui,Maui,2023
Keawakapa_1_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Keawakapa_2_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Keawakapa_3_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Keawakapa_4_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Keawakapa_5_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Keawakapa_6_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Keawakapa_7_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Keawakapa_8_PE,Keawakapu Beach,South Kihei,Maui,Maui,2023
Maluaka_1_PE,Maluaka Beach,Makena,Maui,Maui,2023
Maluaka_2_PE,Maluaka Beach,Makena,Maui,Maui,2023
Maluaka_3_PE,Maluaka Beach,Makena,Maui,Maui,2023
Maluaka_4_PE,Maluaka Beach,Makena,Maui,Maui,2023
Maluaka_5_PE,Maluaka Beach,Makena,Maui,Maui,2023
Maluaka_6_PE,Maluaka Beach,Makena,Maui,Maui,2023
Maluaka_7_PE,Maluaka Beach,Makena,Maui,Maui,2023
Maluaka_8_PE,Maluaka Beach,Makena,Maui,Maui,2023
Olowalu_1_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Olowalu_2_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Olowalu_3_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Olowalu_4_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Olowalu_5_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Olowalu_6_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Olowalu_7_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Olowalu_8_PE,Olowalu Beach,Olowalu,Maui,Maui,2023
Ulua_1_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Ulua_2_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Ulua_3_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Ulua_4_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Ulua_5_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Ulua_6_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Ulua_7_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Ulua_8_PE,Ulua Beach,South Kihei,Maui,Maui,2023
Electric_1_2021_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2021
Electric_1_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2022
Electric_2_2021_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2021
Electric_2_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2022
Electric_3_2021_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2021
Electric_3_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2022
Electric_4_2021_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2021
Electric_4_PE,Kahe Point Beach Park,West Oahu,Oahu,Oahu,2022
Haleiwa_1_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Haleiwa_2_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Haleiwa_3_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Haleiwa_4_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Haleiwa_5_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Haleiwa_6_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Haleiwa_7_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Haleiwa_8_PE,Kaiaka Bay Beach Park,North Oahu,Oahu,Oahu,2022
Kaiona_1_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2022
Kaiona_2_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2022
Kaiona_3_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2022
Kaiona_4_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2022
KaionaBeach_1_2021_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2021
KaionaBeach_2_2021_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2021
KaionaBeach_3_2021_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2021
KaionaBeach_4_2021_PE,Kaiona Beach Park,East Oahu,Oahu,Oahu,2021
Makaha_1_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
Makaha_2_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
Makaha_3_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
Makaha_4_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
Makaha_5_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
Makaha_6_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
Makaha_7_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
Makaha_8_PE,Mākaha Beach Park,West Oahu,Oahu,Oahu,2022
MakaiPier_1_2021_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2021
MakaiPier_1_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2022
MakaiPier_2_2021_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2021
MakaiPier_2_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2022
MakaiPier_3_2021_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2021
MakaiPier_3_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2022
MakaiPier_4_2021_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2021
MakaiPier_4_PE,Kaupō Beach Park,East Oahu,Oahu,Oahu,2022
SandIsland_1_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SandIsland_2_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SandIsland_3_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SandIsland_4_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SandIsland_5_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SandIsland_6_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SandIsland_7_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SandIsland_8_PE,Sand Island Beach,South Oahu,Oahu,Oahu,2022
SharksCove_1_2021_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2021
SharksCove_1_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2022
SharksCove_2_2021_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2021
SharksCove_2_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2022
SharksCove_3_2021_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2021
SharksCove_3_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2022
SharksCove_4_2021_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2021
SharksCove_4_PE,Pūpūkea Beach Park,North Oahu,Oahu,Oahu,2022
ThreeTables_1_2021_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2021
ThreeTables_1_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2022
ThreeTables_2_2021_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2021
ThreeTables_2_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2022
ThreeTables_3_2021_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2021
ThreeTables_3_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2022
ThreeTables_4_2021_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2021
ThreeTables_4_PE,Three Tables Beach,North Oahu,Oahu,Oahu,2022